-  74% jaxagent_train                              (min=0.0s, mean=0.2s, max=0.2s, n=576)
-  10% jaxagent_policy                             (min=0.0s, mean=0.1s, max=0.1s, n=144)
-   4% jaxagent_train/jit_train                    (min=0.0s, mean=0.0s, max=0.0s, n=576)
-   2% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=577)
-   2% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=577)
-   1% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=576)
-   1% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=8634)
-   0% jaxagent_report                             (min=0.2s, mean=0.2s, max=0.2s, n=1)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=582)
-   0% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=2304)
-   0% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=8643)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=2304)
-   0% nvsmi_stats                                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=577)
-   0% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=9184)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=576)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=589)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=2304)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TensorBoardOutput              (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=8)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
