- 204% chunk_save                                  (min=0.8s, mean=3.8s, max=5.1s, n=64)
-  73% jaxagent_train                              (min=0.0s, mean=0.2s, max=0.2s, n=568)
-   9% jaxagent_policy                             (min=0.0s, mean=0.1s, max=0.1s, n=142)
-   5% jaxagent_train/jit_train                    (min=0.0s, mean=0.0s, max=0.0s, n=568)
-   2% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=568)
-   2% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=568)
-   1% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=568)
-   1% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=8473)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=615)
-   0% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=2272)
-   0% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=8460)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=2272)
-   0% nvsmi_stats                                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=568)
-   0% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=9056)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TensorBoardOutput              (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/get_compose                      (min=0.0s, mean=0.0s, max=0.0s, n=880)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=568)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=628)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=1392)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=7)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
