-  68% jaxagent_policy                    (min=0.0s, mean=0.0s, max=0.7s, n=2090)
-   8% jaxagent_train                     (min=0.0s, mean=0.0s, max=4.0s, n=502)
-   6% replay_sample                      (min=0.0s, mean=0.0s, max=3.6s, n=504)
-   4% jaxagent_train/jit_train           (min=0.0s, mean=0.0s, max=0.3s, n=502)
-   1% replay_sample/assemble_batch       (min=0.0s, mean=0.0s, max=0.0s, n=504)
-   1% checkpoint_save                    (min=1.7s, mean=1.7s, max=1.7s, n=1)
-   1% replay_update                      (min=0.0s, mean=0.0s, max=0.0s, n=501)
-   1% replay_update/set_slice            (min=0.0s, mean=0.0s, max=0.0s, n=7681)
-   1% checkpoint_save/checkpoint_pickle  (min=0.0s, mean=0.3s, max=0.7s, n=3)
-   0% checkpoint_save/jaxagent_save      (min=0.7s, mean=0.7s, max=0.7s, n=1)
-   0% checkpoint_save/checkpoint_write   (min=0.0s, mean=0.1s, max=0.2s, n=3)
-   0% replay_add                         (min=0.0s, mean=0.0s, max=0.0s, n=2090)
-   0% logfn                              (min=0.0s, mean=0.0s, max=0.0s, n=2090)
-   0% replay_update/set_compose          (min=0.0s, mean=0.0s, max=0.0s, n=335)
-   0% replay_sample/get_slice            (min=0.0s, mean=0.0s, max=0.0s, n=7725)
-   0% nvsmi_stats                        (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_sample/annotate_batch       (min=0.0s, mean=0.0s, max=0.0s, n=504)
-   0% replay_sample/sample               (min=0.0s, mean=0.0s, max=0.0s, n=8032)
-   0% stream_next                        (min=0.0s, mean=0.0s, max=0.0s, n=502)
-   0% replay_add/get_slice               (min=0.0s, mean=0.0s, max=0.0s, n=1920)
-   0% replay_sample/get_compose          (min=0.0s, mean=0.0s, max=0.0s, n=339)
-   0% replay_add/get_compose             (min=0.0s, mean=0.0s, max=0.0s, n=106)
-   0% psutil_stats                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logfn/logger_add                   (min=0.0s, mean=0.0s, max=0.0s, n=14)
-   0% replay_add/complete_chunk          (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_add                         (min=0.0s, mean=0.0s, max=0.0s, n=6)
-   0% checkpoint_save/replay_save        (min=0.0s, mean=0.0s, max=0.0s, n=1)
