-  52% jaxagent_train                     (min=0.0s, mean=0.2s, max=3.2s, n=485)
-  20% replay_sample                      (min=0.0s, mean=0.1s, max=13.5s, n=487)
-   7% jaxagent_policy                    (min=0.0s, mean=0.0s, max=1.3s, n=249)
-   5% jaxagent_train/jit_train           (min=0.0s, mean=0.0s, max=0.3s, n=485)
-   1% replay_sample/assemble_batch       (min=0.0s, mean=0.0s, max=0.0s, n=487)
-   1% checkpoint_save                    (min=1.7s, mean=1.7s, max=1.7s, n=1)
-   1% replay_update                      (min=0.0s, mean=0.0s, max=0.0s, n=484)
-   1% replay_update/set_slice            (min=0.0s, mean=0.0s, max=0.0s, n=7744)
-   1% checkpoint_save/checkpoint_pickle  (min=0.0s, mean=0.2s, max=0.7s, n=3)
-   0% checkpoint_save/jaxagent_save      (min=0.6s, mean=0.6s, max=0.6s, n=1)
-   0% checkpoint_save/checkpoint_write   (min=0.0s, mean=0.1s, max=0.3s, n=3)
-   0% replay_add                         (min=0.0s, mean=0.0s, max=0.0s, n=3984)
-   0% logfn                              (min=0.0s, mean=0.0s, max=0.0s, n=3984)
-   0% replay_sample/get_slice            (min=0.0s, mean=0.0s, max=0.0s, n=7792)
-   0% nvsmi_stats                        (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_sample/annotate_batch       (min=0.0s, mean=0.0s, max=0.0s, n=487)
-   0% replay_sample/sample               (min=0.0s, mean=0.0s, max=0.0s, n=7744)
-   0% stream_next                        (min=0.0s, mean=0.0s, max=0.0s, n=485)
-   0% replay_add/get_slice               (min=0.0s, mean=0.0s, max=0.0s, n=2960)
-   0% psutil_stats                       (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                         (min=0.0s, mean=0.0s, max=0.0s, n=6)
-   0% checkpoint_save/replay_save        (min=0.0s, mean=0.0s, max=0.0s, n=1)
