-  68% jaxagent_train                              (min=0.0s, mean=0.2s, max=0.2s, n=528)
-  63% chunk_save                                  (min=4.6s, mean=4.8s, max=4.9s, n=16)
-   8% jaxagent_policy                             (min=0.0s, mean=0.1s, max=0.1s, n=132)
-   8% checkpoint_save                             (min=9.1s, mean=9.1s, max=9.1s, n=1)
-   7% checkpoint_save/jaxagent_save               (min=7.9s, mean=7.9s, max=7.9s, n=1)
-   5% jaxagent_train/jit_train                    (min=0.0s, mean=0.0s, max=0.0s, n=528)
-   2% replay_sample                               (min=0.0s, mean=0.0s, max=0.0s, n=529)
-   2% replay_sample/assemble_batch                (min=0.0s, mean=0.0s, max=0.0s, n=529)
-   1% replay_update                               (min=0.0s, mean=0.0s, max=0.0s, n=528)
-   1% replay_update/set_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=7892)
-   1% checkpoint_save/checkpoint_pickle           (min=0.0s, mean=0.3s, max=0.7s, n=3)
-   0% checkpoint_save/checkpoint_write            (min=0.0s, mean=0.1s, max=0.3s, n=3)
-   0% jaxagent_report                             (min=0.2s, mean=0.2s, max=0.2s, n=1)
-   0% replay_update/set_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=556)
-   0% replay_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=2112)
-   0% nvsmi_stats                                 (min=0.1s, mean=0.1s, max=0.1s, n=1)
-   0% logfn                                       (min=0.0s, mean=0.0s, max=0.0s, n=2112)
-   0% replay_sample/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=7895)
-   0% replay_sample/annotate_batch                (min=0.0s, mean=0.0s, max=0.0s, n=529)
-   0% replay_sample/sample                        (min=0.0s, mean=0.0s, max=0.0s, n=8432)
-   0% stream_next                                 (min=0.0s, mean=0.0s, max=0.0s, n=528)
-   0% replay_sample/get_compose                   (min=0.0s, mean=0.0s, max=0.0s, n=569)
-   0% replay_add/get_slice                        (min=0.0s, mean=0.0s, max=0.0s, n=1984)
-   0% logger_write                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TensorBoardOutput              (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_add/get_compose                      (min=0.0s, mean=0.0s, max=0.0s, n=128)
-   0% jsonl                                       (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% checkpoint_save/replay_save                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% psutil_stats                                (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_write/TerminalOutput                 (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% checkpoint_save/replay_save/complete_chunk  (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logger_add                                  (min=0.0s, mean=0.0s, max=0.0s, n=8)
-   0% logfn/logger_add                            (min=0.0s, mean=0.0s, max=0.0s, n=16)
-   0% logger_write/JSONLOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=2)
-   0% logger_write/ScopeOutput                    (min=0.0s, mean=0.0s, max=0.0s, n=1)
