-  59% jaxagent_train                           (min=0.0s, mean=0.2s, max=0.3s, n=584)
-   9% replay_sample                            (min=0.0s, mean=0.0s, max=5.7s, n=586)
-   9% jaxagent_policy                          (min=0.1s, mean=0.1s, max=1.4s, n=146)
-   4% jaxagent_train/jit_train                 (min=0.0s, mean=0.0s, max=0.3s, n=584)
-   4% checkpoint_load                          (min=5.6s, mean=5.6s, max=5.6s, n=1)
-   3% replay_sample/assemble_batch             (min=0.0s, mean=0.0s, max=1.0s, n=586)
-   3% checkpoint_load/replay_load              (min=4.5s, mean=4.5s, max=4.5s, n=1)
-   1% replay_update                            (min=0.0s, mean=0.0s, max=0.0s, n=583)
-   1% replay_update/set_slice                  (min=0.0s, mean=0.0s, max=0.0s, n=8652)
-   0% checkpoint_load/jaxagent_load            (min=0.4s, mean=0.4s, max=0.4s, n=1)
-   0% checkpoint_load/replay_load/get_slice    (min=0.0s, mean=0.0s, max=0.0s, n=256816)
-   0% replay_add                               (min=0.0s, mean=0.0s, max=0.0s, n=2336)
-   0% replay_update/set_compose                (min=0.0s, mean=0.0s, max=0.0s, n=676)
-   0% replay_sample/get_slice                  (min=0.0s, mean=0.0s, max=0.0s, n=8680)
-   0% checkpoint_load/replay_load/get_compose  (min=0.0s, mean=0.0s, max=0.0s, n=19456)
-   0% logfn                                    (min=0.0s, mean=0.0s, max=0.0s, n=2336)
-   0% nvsmi_stats                              (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% replay_sample/annotate_batch             (min=0.0s, mean=0.0s, max=0.0s, n=586)
-   0% replay_sample/sample                     (min=0.0s, mean=0.0s, max=0.0s, n=9344)
-   0% replay_sample/get_compose                (min=0.0s, mean=0.0s, max=0.0s, n=696)
-   0% stream_next                              (min=0.0s, mean=0.0s, max=0.0s, n=584)
-   0% replay_add/get_slice                     (min=0.0s, mean=0.0s, max=0.0s, n=1312)
-   0% psutil_stats                             (min=0.0s, mean=0.0s, max=0.0s, n=1)
-   0% logger_add                               (min=0.0s, mean=0.0s, max=0.0s, n=6)
